name,Alcalinity of ash
Sake,15.6
Sake,11.2
Sake,18.6
Sake,16.8
Sake,21.0
Sake,15.2
Sake,14.6
Sake,17.6
Sake,14.0
Sake,16.0
Sake,18.0
Sake,16.8
Sake,16.0
Sake,11.4
Sake,12.0
Sake,17.2
Sake,20.0
Sake,20.0
Sake,16.5
Sake,15.2
Sake,16.0
Sake,18.6
Sake,16.6
Sake,17.8
Sake,20.0
Sake,25.0
Sake,16.1
Sake,17.0
Sake,19.4
Sake,16.0
Sake,22.5
Sake,19.1
Sake,17.2
Sake,19.5
Sake,19.0
Sake,20.5
Sake,15.5
Sake,18.0
Sake,15.5
Sake,13.2
Sake,16.2
Sake,18.8
Sake,15.0
Sake,17.5
Sake,17.0
Sake,18.9
Sake,16.0
Sake,16.0
Sake,18.8
Sake,17.4
Sake,12.4
Sake,17.2
Sake,14.0
Sake,17.1
Sake,16.4
Sake,20.5
Sake,16.3
Sake,16.8
Sake,16.7
Whisky,10.6
Whisky,16.0
Whisky,16.8
Whisky,18.0
Whisky,19.0
Whisky,19.0
Whisky,18.1
Whisky,15.0
Whisky,19.6
Whisky,17.0
Whisky,16.8
Whisky,20.4
Whisky,25.0
Whisky,24.0
Whisky,30.0
Whisky,21.0
Whisky,16.0
Whisky,16.0
Whisky,18.0
Whisky,14.8
Whisky,23.0
Whisky,19.0
Whisky,18.8
Whisky,24.0
Whisky,22.5
Whisky,18.0
Whisky,18.0
Whisky,22.8
Whisky,26.0
Whisky,21.6
Whisky,23.6
Whisky,18.5
Whisky,22.0
Whisky,20.7
Whisky,18.0
Whisky,18.0
Whisky,19.0
Whisky,21.5
Whisky,16.0
Whisky,18.5
Whisky,18.0
Whisky,17.5
Whisky,18.5
Whisky,21.0
Whisky,19.5
Whisky,20.5
Whisky,22.0
Whisky,19.0
Whisky,22.5
Whisky,19.0
Whisky,20.0
Whisky,19.5
Whisky,21.0
Whisky,20.0
Whisky,21.0
Whisky,22.5
Whisky,21.5
Whisky,20.8
Whisky,22.5
Whisky,16.0
Whisky,19.0
Whisky,20.0
Whisky,28.5
Whisky,26.5
Whisky,21.5
Whisky,21.0
Whisky,21.0
Whisky,21.5
Whisky,28.5
Whisky,24.5
Whisky,22.0
champain,18.0
champain,20.0
champain,24.0
champain,21.5
champain,17.5
champain,18.5
champain,21.0
champain,25.0
champain,19.5
champain,24.0
champain,21.0
champain,20.0
champain,23.5
champain,20.0
champain,18.5
champain,21.0
champain,20.0
champain,21.5
champain,21.5
champain,21.5
champain,24.0
champain,22.0
champain,25.5
champain,18.5
champain,20.0
champain,22.0
champain,19.5
champain,27.0
champain,25.0
champain,22.5
champain,21.0
champain,20.0
champain,22.0
champain,18.5
champain,22.0
champain,22.5
champain,23.0
champain,19.5
champain,24.5
champain,25.0
champain,19.0
champain,19.5
champain,20.0
champain,20.5
champain,23.0
champain,20.0
champain,20.0
champain,24.5
