name,Alcohol
Sake,14.23
Sake,13.2
Sake,13.16
Sake,14.37
Sake,13.24
Sake,14.2
Sake,14.39
Sake,14.06
Sake,14.83
Sake,13.86
Sake,14.1
Sake,14.12
Sake,13.75
Sake,14.75
Sake,14.38
Sake,13.63
Sake,14.3
Sake,13.83
Sake,14.19
Sake,13.64
Sake,14.06
Sake,12.93
Sake,13.71
Sake,12.85
Sake,13.5
Sake,13.05
Sake,13.39
Sake,13.3
Sake,13.87
Sake,14.02
Sake,13.73
Sake,13.58
Sake,13.68
Sake,13.76
Sake,13.51
Sake,13.48
Sake,13.28
Sake,13.05
Sake,13.07
Sake,14.22
Sake,13.56
Sake,13.41
Sake,13.88
Sake,13.24
Sake,13.05
Sake,14.21
Sake,14.38
Sake,13.9
Sake,14.1
Sake,13.94
Sake,13.05
Sake,13.83
Sake,13.82
Sake,13.77
Sake,13.74
Sake,13.56
Sake,14.22
Sake,13.29
Sake,13.72
Whisky,12.37
Whisky,12.33
Whisky,12.64
Whisky,13.67
Whisky,12.37
Whisky,12.17
Whisky,12.37
Whisky,13.11
Whisky,12.37
Whisky,13.34
Whisky,12.21
Whisky,12.29
Whisky,13.86
Whisky,13.49
Whisky,12.99
Whisky,11.96
Whisky,11.66
Whisky,13.03
Whisky,11.84
Whisky,12.33
Whisky,12.7
Whisky,12.0
Whisky,12.72
Whisky,12.08
Whisky,13.05
Whisky,11.84
Whisky,12.67
Whisky,12.16
Whisky,11.65
Whisky,11.64
Whisky,12.08
Whisky,12.08
Whisky,12.0
Whisky,12.69
Whisky,12.29
Whisky,11.62
Whisky,12.47
Whisky,11.81
Whisky,12.29
Whisky,12.37
Whisky,12.29
Whisky,12.08
Whisky,12.6
Whisky,12.34
Whisky,11.82
Whisky,12.51
Whisky,12.42
Whisky,12.25
Whisky,12.72
Whisky,12.22
Whisky,11.61
Whisky,11.46
Whisky,12.52
Whisky,11.76
Whisky,11.41
Whisky,12.08
Whisky,11.03
Whisky,11.82
Whisky,12.42
Whisky,12.77
Whisky,12.0
Whisky,11.45
Whisky,11.56
Whisky,12.42
Whisky,13.05
Whisky,11.87
Whisky,12.07
Whisky,12.43
Whisky,11.79
Whisky,12.37
Whisky,12.04
champain,12.86
champain,12.88
champain,12.81
champain,12.7
champain,12.51
champain,12.6
champain,12.25
champain,12.53
champain,13.49
champain,12.84
champain,12.93
champain,13.36
champain,13.52
champain,13.62
champain,12.25
champain,13.16
champain,13.88
champain,12.87
champain,13.32
champain,13.08
champain,13.5
champain,12.79
champain,13.11
champain,13.23
champain,12.58
champain,13.17
champain,13.84
champain,12.45
champain,14.34
champain,13.48
champain,12.36
champain,13.69
champain,12.85
champain,12.96
champain,13.78
champain,13.73
champain,13.45
champain,12.82
champain,13.58
champain,13.4
champain,12.2
champain,12.77
champain,14.16
champain,13.71
champain,13.4
champain,13.27
champain,13.17
champain,14.13
