name,Ash
Sake,2.43
Sake,2.14
Sake,2.67
Sake,2.5
Sake,2.87
Sake,2.45
Sake,2.45
Sake,2.61
Sake,2.17
Sake,2.27
Sake,2.3
Sake,2.32
Sake,2.41
Sake,2.39
Sake,2.38
Sake,2.7
Sake,2.72
Sake,2.62
Sake,2.48
Sake,2.56
Sake,2.28
Sake,2.65
Sake,2.36
Sake,2.52
Sake,2.61
Sake,3.22
Sake,2.62
Sake,2.14
Sake,2.8
Sake,2.21
Sake,2.7
Sake,2.36
Sake,2.36
Sake,2.7
Sake,2.65
Sake,2.41
Sake,2.84
Sake,2.55
Sake,2.1
Sake,2.51
Sake,2.31
Sake,2.12
Sake,2.59
Sake,2.29
Sake,2.1
Sake,2.44
Sake,2.28
Sake,2.12
Sake,2.4
Sake,2.27
Sake,2.04
Sake,2.6
Sake,2.42
Sake,2.68
Sake,2.25
Sake,2.46
Sake,2.3
Sake,2.68
Sake,2.5
Whisky,1.36
Whisky,2.28
Whisky,2.02
Whisky,1.92
Whisky,2.16
Whisky,2.53
Whisky,2.56
Whisky,1.7
Whisky,1.92
Whisky,2.36
Whisky,1.75
Whisky,2.21
Whisky,2.67
Whisky,2.24
Whisky,2.6
Whisky,2.3
Whisky,1.92
Whisky,1.71
Whisky,2.23
Whisky,1.95
Whisky,2.4
Whisky,2.0
Whisky,2.2
Whisky,2.51
Whisky,2.32
Whisky,2.58
Whisky,2.24
Whisky,2.31
Whisky,2.62
Whisky,2.46
Whisky,2.3
Whisky,2.32
Whisky,2.42
Whisky,2.26
Whisky,2.22
Whisky,2.28
Whisky,2.2
Whisky,2.74
Whisky,1.98
Whisky,2.1
Whisky,2.21
Whisky,1.7
Whisky,1.9
Whisky,2.46
Whisky,1.88
Whisky,1.98
Whisky,2.27
Whisky,2.12
Whisky,2.28
Whisky,1.94
Whisky,2.7
Whisky,1.82
Whisky,2.17
Whisky,2.92
Whisky,2.5
Whisky,2.5
Whisky,2.2
Whisky,1.99
Whisky,2.19
Whisky,1.98
Whisky,2.0
Whisky,2.42
Whisky,3.23
Whisky,2.73
Whisky,2.13
Whisky,2.39
Whisky,2.17
Whisky,2.29
Whisky,2.78
Whisky,2.3
Whisky,2.38
champain,2.32
champain,2.4
champain,2.4
champain,2.36
champain,2.25
champain,2.2
champain,2.54
champain,2.64
champain,2.19
champain,2.61
champain,2.7
champain,2.35
champain,2.72
champain,2.35
champain,2.2
champain,2.15
champain,2.23
champain,2.48
champain,2.38
champain,2.36
champain,2.62
champain,2.48
champain,2.75
champain,2.28
champain,2.1
champain,2.32
champain,2.38
champain,2.64
champain,2.7
champain,2.64
champain,2.38
champain,2.54
champain,2.58
champain,2.35
champain,2.3
champain,2.26
champain,2.6
champain,2.3
champain,2.69
champain,2.86
champain,2.32
champain,2.28
champain,2.48
champain,2.45
champain,2.48
champain,2.26
champain,2.37
champain,2.74
