name,Color intensity
Sake,5.64
Sake,4.38
Sake,5.68
Sake,7.8
Sake,4.32
Sake,6.75
Sake,5.25
Sake,5.05
Sake,5.2
Sake,7.22
Sake,5.75
Sake,5.0
Sake,5.6
Sake,5.4
Sake,7.5
Sake,7.3
Sake,6.2
Sake,6.6
Sake,8.7
Sake,5.1
Sake,5.65
Sake,4.5
Sake,3.8
Sake,3.93
Sake,3.52
Sake,3.58
Sake,4.8
Sake,3.95
Sake,4.5
Sake,4.7
Sake,5.7
Sake,6.9
Sake,3.84
Sake,5.4
Sake,4.2
Sake,5.1
Sake,4.6
Sake,4.25
Sake,3.7
Sake,5.1
Sake,6.13
Sake,4.28
Sake,5.43
Sake,4.36
Sake,5.04
Sake,5.24
Sake,4.9
Sake,6.1
Sake,6.2
Sake,8.9
Sake,7.2
Sake,5.6
Sake,7.05
Sake,6.3
Sake,5.85
Sake,6.25
Sake,6.38
Sake,6.0
Sake,6.8
Whisky,1.95
Whisky,3.27
Whisky,5.75
Whisky,3.8
Whisky,4.45
Whisky,2.95
Whisky,4.6
Whisky,5.3
Whisky,4.68
Whisky,3.17
Whisky,2.85
Whisky,3.05
Whisky,3.38
Whisky,3.74
Whisky,3.35
Whisky,3.21
Whisky,3.8
Whisky,4.6
Whisky,2.65
Whisky,3.4
Whisky,2.57
Whisky,2.5
Whisky,3.9
Whisky,2.2
Whisky,4.8
Whisky,3.05
Whisky,2.62
Whisky,2.45
Whisky,2.6
Whisky,2.8
Whisky,1.74
Whisky,2.4
Whisky,3.6
Whisky,3.05
Whisky,2.15
Whisky,3.25
Whisky,2.6
Whisky,2.5
Whisky,2.9
Whisky,4.5
Whisky,2.3
Whisky,3.3
Whisky,2.45
Whisky,2.8
Whisky,2.06
Whisky,2.94
Whisky,2.7
Whisky,3.4
Whisky,3.3
Whisky,2.7
Whisky,2.65
Whisky,2.9
Whisky,2.0
Whisky,3.8
Whisky,3.08
Whisky,2.9
Whisky,1.9
Whisky,1.95
Whisky,2.06
Whisky,3.4
Whisky,1.28
Whisky,3.25
Whisky,6.0
Whisky,2.08
Whisky,2.6
Whisky,2.8
Whisky,2.76
Whisky,3.94
Whisky,3.0
Whisky,2.12
Whisky,2.6
champain,4.1
champain,5.4
champain,5.7
champain,5.0
champain,5.45
champain,7.1
champain,3.85
champain,5.0
champain,5.7
champain,4.92
champain,4.6
champain,5.6
champain,4.35
champain,4.4
champain,8.21
champain,4.0
champain,4.9
champain,7.65
champain,8.42
champain,9.4
champain,8.6
champain,10.8
champain,7.1
champain,10.52
champain,7.6
champain,7.9
champain,9.01
champain,7.5
champain,13.0
champain,11.75
champain,7.65
champain,5.88
champain,5.58
champain,5.28
champain,9.58
champain,6.62
champain,10.68
champain,10.26
champain,8.66
champain,8.5
champain,5.5
champain,9.899999
champain,9.7
champain,7.7
champain,7.3
champain,10.2
champain,9.3
champain,9.2
