name,Hue
Sake,1.04
Sake,1.05
Sake,1.03
Sake,0.86
Sake,1.04
Sake,1.05
Sake,1.02
Sake,1.06
Sake,1.08
Sake,1.01
Sake,1.25
Sake,1.17
Sake,1.15
Sake,1.25
Sake,1.2
Sake,1.28
Sake,1.07
Sake,1.13
Sake,1.23
Sake,0.96
Sake,1.09
Sake,1.03
Sake,1.11
Sake,1.09
Sake,1.12
Sake,1.13
Sake,0.92
Sake,1.02
Sake,1.25
Sake,1.04
Sake,1.19
Sake,1.09
Sake,1.23
Sake,1.25
Sake,1.1
Sake,1.04
Sake,1.09
Sake,1.12
Sake,1.18
Sake,0.89
Sake,0.95
Sake,0.91
Sake,0.88
Sake,0.82
Sake,0.88
Sake,0.87
Sake,1.04
Sake,0.91
Sake,1.07
Sake,1.12
Sake,1.12
Sake,1.24
Sake,1.01
Sake,1.13
Sake,0.92
Sake,0.98
Sake,0.94
Sake,1.07
Sake,0.89
Whisky,1.05
Whisky,1.25
Whisky,0.98
Whisky,1.23
Whisky,1.22
Whisky,1.45
Whisky,1.19
Whisky,1.12
Whisky,1.12
Whisky,1.02
Whisky,1.28
Whisky,0.906
Whisky,1.36
Whisky,0.98
Whisky,1.31
Whisky,0.99
Whisky,1.23
Whisky,1.19
Whisky,0.96
Whisky,1.06
Whisky,1.19
Whisky,1.38
Whisky,1.16
Whisky,1.31
Whisky,0.84
Whisky,0.79
Whisky,1.23
Whisky,1.33
Whisky,1.36
Whisky,1.0
Whisky,1.07
Whisky,1.08
Whisky,1.05
Whisky,0.96
Whisky,1.15
Whisky,1.16
Whisky,1.16
Whisky,0.95
Whisky,1.23
Whisky,1.04
Whisky,1.42
Whisky,1.27
Whisky,1.04
Whisky,0.8
Whisky,0.94
Whisky,1.04
Whisky,0.86
Whisky,1.0
Whisky,0.88
Whisky,0.86
Whisky,0.96
Whisky,0.75
Whisky,0.9
Whisky,1.23
Whisky,1.1
Whisky,0.93
Whisky,1.71
Whisky,0.95
Whisky,1.06
Whisky,0.7
Whisky,0.93
Whisky,0.8
Whisky,0.93
Whisky,0.92
Whisky,0.73
Whisky,0.75
Whisky,0.86
Whisky,0.69
Whisky,0.97
Whisky,0.89
Whisky,0.79
champain,0.76
champain,0.74
champain,0.66
champain,0.78
champain,0.75
champain,0.73
champain,0.75
champain,0.82
champain,0.81
champain,0.89
champain,0.77
champain,0.7
champain,0.89
champain,0.91
champain,0.65
champain,0.6
champain,0.58
champain,0.54
champain,0.55
champain,0.57
champain,0.59
champain,0.48
champain,0.61
champain,0.56
champain,0.58
champain,0.6
champain,0.57
champain,0.67
champain,0.57
champain,0.57
champain,0.56
champain,0.96
champain,0.87
champain,0.68
champain,0.7
champain,0.78
champain,0.85
champain,0.72
champain,0.74
champain,0.67
champain,0.66
champain,0.57
champain,0.62
champain,0.64
champain,0.7
champain,0.59
champain,0.6
champain,0.61
