name,Magnesium
Sake,127
Sake,100
Sake,101
Sake,113
Sake,118
Sake,112
Sake,96
Sake,121
Sake,97
Sake,98
Sake,105
Sake,95
Sake,89
Sake,91
Sake,102
Sake,112
Sake,120
Sake,115
Sake,108
Sake,116
Sake,126
Sake,102
Sake,101
Sake,95
Sake,96
Sake,124
Sake,93
Sake,94
Sake,107
Sake,96
Sake,101
Sake,106
Sake,104
Sake,132
Sake,110
Sake,100
Sake,110
Sake,98
Sake,98
Sake,128
Sake,117
Sake,90
Sake,101
Sake,103
Sake,107
Sake,111
Sake,102
Sake,101
Sake,103
Sake,108
Sake,92
Sake,94
Sake,111
Sake,115
Sake,118
Sake,116
Sake,118
Sake,102
Sake,108
Whisky,88
Whisky,101
Whisky,100
Whisky,94
Whisky,87
Whisky,104
Whisky,98
Whisky,78
Whisky,78
Whisky,110
Whisky,151
Whisky,103
Whisky,86
Whisky,87
Whisky,139
Whisky,101
Whisky,97
Whisky,86
Whisky,112
Whisky,136
Whisky,101
Whisky,86
Whisky,86
Whisky,78
Whisky,85
Whisky,94
Whisky,99
Whisky,90
Whisky,88
Whisky,84
Whisky,70
Whisky,81
Whisky,86
Whisky,80
Whisky,88
Whisky,98
Whisky,162
Whisky,134
Whisky,85
Whisky,88
Whisky,88
Whisky,97
Whisky,88
Whisky,98
Whisky,86
Whisky,85
Whisky,90
Whisky,80
Whisky,84
Whisky,92
Whisky,94
Whisky,107
Whisky,88
Whisky,103
Whisky,88
Whisky,84
Whisky,85
Whisky,86
Whisky,108
Whisky,80
Whisky,87
Whisky,96
Whisky,119
Whisky,102
Whisky,86
Whisky,82
Whisky,85
Whisky,86
Whisky,92
Whisky,88
Whisky,80
champain,122
champain,104
champain,98
champain,106
champain,85
champain,94
champain,89
champain,96
champain,88
champain,101
champain,96
champain,89
champain,97
champain,92
champain,112
champain,102
champain,80
champain,86
champain,92
champain,113
champain,123
champain,112
champain,116
champain,98
champain,103
champain,93
champain,89
champain,97
champain,98
champain,89
champain,88
champain,107
champain,106
champain,106
champain,90
champain,88
champain,111
champain,88
champain,105
champain,112
champain,96
champain,86
champain,91
champain,95
champain,102
champain,120
champain,120
champain,96
