name,Nonflavanoid phenols
Sake,0.28
Sake,0.26
Sake,0.3
Sake,0.24
Sake,0.39
Sake,0.34
Sake,0.3
Sake,0.31
Sake,0.29
Sake,0.22
Sake,0.22
Sake,0.26
Sake,0.29
Sake,0.43
Sake,0.29
Sake,0.3
Sake,0.33
Sake,0.4
Sake,0.32
Sake,0.17
Sake,0.24
Sake,0.25
Sake,0.27
Sake,0.26
Sake,0.28
Sake,0.47
Sake,0.34
Sake,0.27
Sake,0.37
Sake,0.26
Sake,0.29
Sake,0.22
Sake,0.42
Sake,0.5
Sake,0.29
Sake,0.26
Sake,0.34
Sake,0.29
Sake,0.28
Sake,0.2
Sake,0.34
Sake,0.27
Sake,0.17
Sake,0.32
Sake,0.28
Sake,0.3
Sake,0.27
Sake,0.21
Sake,0.32
Sake,0.32
Sake,0.17
Sake,0.22
Sake,0.32
Sake,0.39
Sake,0.21
Sake,0.2
Sake,0.26
Sake,0.31
Sake,0.19
Whisky,0.28
Whisky,0.63
Whisky,0.53
Whisky,0.32
Whisky,0.19
Whisky,0.45
Whisky,0.37
Whisky,0.26
Whisky,0.27
Whisky,0.55
Whisky,0.14
Whisky,0.37
Whisky,0.21
Whisky,0.27
Whisky,0.21
Whisky,0.13
Whisky,0.34
Whisky,0.24
Whisky,0.43
Whisky,0.35
Whisky,0.43
Whisky,0.3
Whisky,0.26
Whisky,0.4
Whisky,0.61
Whisky,0.22
Whisky,0.3
Whisky,0.43
Whisky,0.4
Whisky,0.48
Whisky,0.42
Whisky,0.52
Whisky,0.5
Whisky,0.58
Whisky,0.25
Whisky,0.17
Whisky,0.32
Whisky,0.14
Whisky,0.29
Whisky,0.24
Whisky,0.45
Whisky,0.26
Whisky,0.29
Whisky,0.34
Whisky,0.37
Whisky,0.32
Whisky,0.66
Whisky,0.37
Whisky,0.48
Whisky,0.39
Whisky,0.29
Whisky,0.24
Whisky,0.26
Whisky,0.6
Whisky,0.42
Whisky,0.43
Whisky,0.52
Whisky,0.3
Whisky,0.34
Whisky,0.43
Whisky,0.37
Whisky,0.32
Whisky,0.47
Whisky,0.43
Whisky,0.3
Whisky,0.21
Whisky,0.37
Whisky,0.39
Whisky,0.58
Whisky,0.4
Whisky,0.42
champain,0.21
champain,0.24
champain,0.27
champain,0.17
champain,0.6
champain,0.63
champain,0.53
champain,0.63
champain,0.58
champain,0.53
champain,0.53
champain,0.37
champain,0.5
champain,0.47
champain,0.29
champain,0.43
champain,0.4
champain,0.47
champain,0.45
champain,0.34
champain,0.22
champain,0.24
champain,0.26
champain,0.61
champain,0.53
champain,0.61
champain,0.48
champain,0.63
champain,0.53
champain,0.52
champain,0.5
champain,0.5
champain,0.6
champain,0.4
champain,0.41
champain,0.52
champain,0.43
champain,0.4
champain,0.39
champain,0.27
champain,0.4
champain,0.48
champain,0.44
champain,0.52
champain,0.43
champain,0.43
champain,0.53
champain,0.56
