#compound,volumne,Formation_energy,Band_gap,A_e_negativity,A_valence_e,A_first_ionization,A_boiling_point,A_melting_point,A_atomic_radius,A_average_ionic_radius,B_e_negativity,B_valence_e,B_first_ionization,B_boiling_point,B_melting_point,B_atomic_radius,B_average_ionic_radius
CsF,57.249,-2.877,5.26,0.79,1,3.894,944,301.59,2.6,1.81,3.98,7,17.422,85.03,53.53,0.5,0.705
CsCl,88.049,-2.265,4.849,0.79,1,3.894,944,301.59,2.6,1.81,3.16,7,12.967,239.11,171.6,1,0.78
CsBr,101.392,-1.811,4.258,0.79,1,3.894,944,301.59,2.6,1.81,2.96,7,11.814,332,265.8,1.15,0.8825
CsI,121.359,-1.568,3.857,0.79,1,3.894,944,301.59,2.6,1.81,2.66,7,10.451,457.4,386.85,1.4,1.273333333
KF,39.893,-2.956,5.996,0.82,1,4.341,1032,336.53,2.2,1.52,3.98,7,17.422,85.03,53.53,0.5,0.705
KCl,65.391,-2.254,5.027,0.82,1,4.341,1032,336.53,2.2,1.52,3.16,7,12.967,239.11,171.6,1,0.78
KBr,75.735,-1.772,4.31,0.82,1,4.341,1032,336.53,2.2,1.52,2.96,7,11.814,332,265.8,1.15,0.8825
KI,92.743,-1.499,3.851,0.82,1,4.341,1032,336.53,2.2,1.52,2.66,7,10.451,457.4,386.85,1.4,1.273333333
RbF,47.253,-2.896,5.524,0.82,1,4.177,961,312.46,2.35,1.66,3.98,7,17.422,85.03,53.53,0.5,0.705
RbCl,75.148,-2.243,4.839,0.82,1,4.177,961,312.46,2.35,1.66,3.16,7,12.967,239.11,171.6,1,0.78
RbBr,86.781,-1.774,4.193,0.82,1,4.177,961,312.46,2.35,1.66,2.96,7,11.814,332,265.8,1.15,0.8825
RbTe,105.216,-0.4,0.001,0.82,1,4.177,961,312.46,2.35,1.66,2.1,6,9.009,1261,722.66,1.4,1.293333333
RbI,104.957,-1.517,3.777,0.82,1,4.177,961,312.46,2.35,1.66,2.66,7,10.451,457.4,386.85,1.4,1.273333333
BaC,54.467,1.396,0.001,0.89,2,5.212,2143,1000,2.15,1.49,2.55,4,11.26,4300,3800,0.7,0.3
